token;sentiment
['roku'];0
['z', 'jednej', 'strony'];0
['produktu'];0
['gluty', ',', 'które', 'nie', 'wyglądają', 'za', 'ciekawie', ',', 'a', 'skórę', 'mi', 'strasznie', 'wysuszył'];-1
['projektowi', 'ustawy', ',', 'która', 'pozwoli', 'na', 'przynoszący', 'zysk', 'import', 'odpadów', 'nuklearnych'];0
['bardziej', 'atrakcyjny'];1
['W', 'opisie', 'aukcji'];0
[','];0
['sami'];0
['kulturalne'];0
[',', 'czy', 'jestem', 'dzięki', 'feminizmowi', 'szczęśliwsza'];0
['silną'];1
['gorsze'];-1
['jestem', 'rozczarowana'];-1
['w', 'menu'];0
['butelka', 'prosta', ',', 'ale', 'ładna', '.'];0
['nie'];0
['jak'];0
['zachęcał', 'do', 'zakupu'];1
[','];0
['trwała'];0
['lepiej', 'coś', 'dołożyć', 'i', 'kupić', 'lepszy'];1
['ulubionych', 'perfum', ',', 'najlepsze', 'od', 'd&', 'g'];1
['nie', 'na', 'ochronie'];0
['tego', 'zapachu'];0
['uwagę'];0
['która'];0
['modna'];0
['przy', 'tym'];0
['odbija', 'się', 'w', 'bardzo', 'negatywny', 'sposób', 'na', 'wykonywanej', 'pracy', 'na', 'włosach'];-1
['dzieci', ',', 'które', 'same', 'proszą', 'rodziców', ',', 'aby', 'mogły', 'wziąć', 'do', 'rączki', 'te', 'piękne', 'stworzenia'];0
['em'];0
['dla', 'użytkowników'];0
['Sam'];0
['klęski', 'rosyjskie', 'na', 'dalekim', 'wschodzie', 'w', 'wojnie', 'z', 'Japonią'];-1
['wygodniejszy'];0
['tymi'];0
['eleganckich', 'i', 'szykownych', 'dodatków', 'do', 'domu'];1
['.'];0
['może', 'i', 'jest', 'sztuczny'];-1
['roku', 'użytkowania', ',', 'mimo', 'dbania', 'o', 'obiektyw', 'miedzy', 'szkłami', 'są', 'pyłki', ',', 'rozkalibrował', 'się', 'i', 'ma', 'poteżne', 'problemy', 'z', 'ostrością'];-1
['m'];0
['odrzuca'];-1
['się'];0
['ostrzegam', 'wszystkich'];0
['tak', 'beznadziejnym', 'salonie'];-1
['suchym'];0
['z', 'innymi', 'markami', 'w', 'tej', 'cenie'];0
['zasadzie'];0
['czarnej'];0
['sobie'];0
['mam', 'majtki', ',', 'są', 'spoko', '.'];0
[',', 'rury', 'przy', 'podłodze', ',', 'o', 'które', 'można', 'się', 'zabić', ',', 'brak', 'jakiejkolwiek', 'wentylacji', ',', 'zapach', 'od', 'obsługi', 'aż', 'chce', 'sie', 'wymiotować', ',', 'w', 'akwariach', 'zdechłe', 'ryby', ',', 'wszędzie', 'glony', ',', 'właściciel', 'opryskliwy', ',', 'mam', 'wymieniać', 'dalej', '?'];-1
['całej', 'rodziny'];0
['wspaniale'];0
['dobra'];0
['przede', 'wszystkim', 'bardzo', 'niestarannie', 'odszy', 'ta'];-1
['w', 'berecie'];0
[','];0
['czym'];0
['-'];0
['kupiła', 'm', 'go', 'raz', 'na', 'promocji'];0
['ja'];0
['nie', 'ze', 'wzgledu'];0
['sołtys', 'Ligoty', 'Stanisław', 'kuźnik', 'składa', 'serdeczne', 'podziękowanie', 'wszystkim', 'sponsorom', ',', 'którzy', 'przyczynili', 'się', 'do', 'zorganizowania', 'festynu', 'i', 'dzięki', 'którym', 'dzieci', 'z', 'Ligoty', 'będą', 'mogły', 'pojechać', 'na', 'wycieczkę', '.'];0
['może', 'to', 'i', 'lepiej', 'że', 'nie', 'zobaczyła', 'm', 'bo', 'wizyta', 'przebiegła', 'pozytywnie', 'i', 'bardzo', 'mi', 'pomógł', ',', 'miał', 'fachowe', 'i', 'empatyczne', 'podejście', 'do', 'pacjenta', '.'];1
['się', 'obraca', 'i', 'raczej', 'nie', 'należy', 'do', 'stabilnych', 'ale', 'zapach', 'wszystko', 'mi', 'wynagradza'];1
['finalnie', 'wyjść', 'zadowolonym'];1
['właściwie', 'nie', 'robi', 'nic'];0
['.'];0
['nie'];0
[')'];0
['były'];0
['jedzenie', 'słabe'];-1
['trzy'];0
[',', 'który', 'ją', 'definitywnie', 'dyskwalifikuje'];0
['mocno'];0
['miseczki', 'typu', 'push'];0
['pogawędkę', 'czy', 'też', 'wypicie', 'kawy', 'lub', 'szybki', 'lunch'];0
['ten'];0
['kilku', 'lat'];0
['nie', 'ma', 'chyba', 'na', 'rynku', 'słabego', ',', 'lub', 'brzydkiego', 'zapachu', 'od', 'Hugo', 'bossa', '.'];0
['-', 'jedzenie', 'ciekawe', 'ale', 'drogawe', 'za', 'to'];0
[','];0
[','];0
['masakryczny', 'łupież'];-1
['się'];0
['pod', 'sportowym', 'lub', 'wygodnym', 'strojem'];0
['niby'];0
['w', 'perełkę'];1
['jest'];0
