token;sentiment
['piersi', 'i', 'je', 'podnosi'];0
['siłownię'];0
['bardzo', 'sympatyczni'];1
['według', 'stołecznych', 'policjantów', ',', 'udało', 'mu', 'się', 'zgromadzić', 'wokół', 'siebie', 'młodych', 'przestępców', 'z', 'Pragi', '.'];0
[','];0
['.'];0
['kiepski'];-1
['dobrze', 'trzyma', 'biust', 'i', 'przylega', 'do', 'ciała', '.'];0
['życiu'];0
['dużo'];0
['-', 'niezwykły'];1
['klientem'];0
['-'];0
['wyszła', 'm', 'zadowolona'];1
['festynu'];0
['kiedyś', 'była', 'najlepsza', 'w', 'kraju'];1
['odtwarzaniem', 'filmików'];0
['solidnego', 'sklepu'];1
['wcale', 'nie', 'trzeba', 'wkładać', ':', ')', 'stanik', 'jest', 'usztywniany', ',', 'z', 'przyjemnego', 'materiału', '.'];1
['mylił', 'em', 'się', ',', 'reszta', 'piosenek', 'i', 'ogólnie', 'cała', 'płyta', 'bardzo', 'mnie', 'zawiodła'];-1
['jakie'];0
['m'];0
['to', 'wszystko'];0
['ten', 'stanik', 'ze', 'zdjęcia'];0
['nie'];0
['kompozytora'];0
['bardziej', 'mandarynka'];0
['są', 'minusy'];-1
['dla', 'kobiety', 'zdecydowanej', 'o', 'silnej', 'osobowości', 'i', 'temperamencie', '.'];0
['wszystko'];0
[',', 'że', 'nie', 'informują', 'pasażerów', ',', 'opóźnienia', 'to', 'norma', ',', 'w', 'godzinach', 'szczytu', 'nie', 'opłaca', 'się', 'jechać', ',', 'lepiej', 'pojechać', 'koleją'];-1
['mało', 'osób'];0
['całkiem', 'zacna'];1
['eleganckie'];0
['duże'];0
['-', 'wyłącznie', 'po', 'wypełnieniu', 'formularza', 'i', 'spełnieniu', 'dodatkowych', 'wymogów'];0
['mizerne'];0
['pięknie'];0
['godny'];1
['to', 'naprawdę', 'świecący', 'kryształ', 'wśród', 'wszystkich', 'zapachów', '.'];0
['by'];0
['jednych'];0
['niezbyt', 'dobre'];-1
['.'];0
['zapachowa'];0
['wszędzie'];0
['biustonosz'];0
['wtedy'];0
['podkładu'];0
['również', 'nieźle', 'nadaje', 'się', 'na', 'prezent'];1
['silnych'];1
['głównym', 'atutem', 'tego', 'miejsca', 'jest', 'stodoła', ',', 'w', 'której', 'serwowane', 'są', 'posiłki', ',', 'jest', 'wielka', 'kanapa', ',', 'gdzie', 'można', 'poczytać', 'lub', 'obejrzeć', 'film', ',', 'jest', 'biblioteczka', 'na', 'antresoli', ',', 'są', 'stoły', 'i', 'wielki', ',', 'piękny', 'kominek', '.'];1
['.', '.'];0
['-'];0
['stroje', 'kąpielowe', 'z', 'tej', 'kolekcji', 'mają', 'super', 'żywe', 'kolory'];1
['tak'];0
['źle'];0
['mi'];0
['w', 'nieprzyjemnym', 'zapachu'];-1
['.'];0
['stoliki'];0
['zażarta'];-1
['przyjemne', 'komentarze'];1
['dla', 'każdego', 'faceta'];0
['dobrego', 'materiału'];1
[',', 'do', 'czego', 'można', 'się', 'przyczepić', 'to', 'wzornictwo', '-', 'czasami', 'widoczne', 'mankamenty', 'psują', 'cały', 'efekt'];-1
['uroczy'];1
[',', 'który', 'podkreśla', 'i', 'uwydatnia', 'biust'];0
['.'];0
['nawet'];0
['nadgarstkowe'];0
['przystępna'];1
['częściej', 'podrabianych', 'zapachów'];0
['po', 'aktualizacji'];0
['zawsze', 'z', 'chęcią', 'wracam', 'tam', 'ze', 'względu', 'na', 'miłą', 'obsługę', 'całej', 'załogi'];1
['.'];0
['chyba'];0
['takich'];0
['z', 'tak', 'zwanych', 'nieudanych', 'prezentów'];-1
