id	tokens	sentiment
35644	['dla', 'mężczyzn']	0
40052	['na', 'placu', 'wolności', 'wisiało', 'jeszcze', 'wtedy', 'kilka', 'plakatów', ',', 'zachęcających', 'do', 'głosowania', 'na', 'Tadeusza', 'Zwiefkę', '.']	0
24526	[',']	0
27341	['poprostu', 'mistrzostwo', 'świata']	1
22668	['nie']	0
7790	['kolorowe']	0
15663	['brak', 'możliwości', 'ustawienia', 'jednego', 'trybu', 'świecenia', ',', 'szybkie', 'rozbłyski', 'są', 'nie', 'do', 'zniesienia', 'dla', 'oka']	-1
7721	['-', 'zwłaszcza', 'jeśli', 'chodzi', 'o', 'rozczesywanie', 'na', 'mokro']	0
23444	['wydzielanie', 'potu', 'ale', 'co', 'z', 'tego', 'kiedy', 'nie', 'da', 'się', 'go', 'używać', 'bez', 'uszczerbku', 'dla', 'zdrowia']	-1
14330	['bardzo']	0
22015	['profesorowie']	0
38031	['wielki', 'ból']	-1
25863	['majtki', 'kiepskie', ',', 'materiał', 'niezbyt', 'dobry', 'jakościowo', ',', 'a', 'jeśli', 'chodzi', 'o', 'koronkowe', 'to', 'wychodzą', 'z', 'nich', 'nagminnie', 'nitki', ':', '/']	-1
31363	['kobiety', 'romantycznej', 'i', 'eterycznej', ',', 'nienachalny']	1
15666	['jednego']	0
13944	['tłusto']	0
5365	['tylko', 'jedną']	0
36090	['.']	0
6656	[',']	0
27564	['do', 'samgo', 'zapachu']	0
13917	['.']	0
29569	['sam', 'raz', 'dla', 'przeciętnej', 'kobiety']	0
37061	['jest']	0
6559	['na', 'szczęście', 'później', 'było']	1
3132	['moje']	0
32719	['jest', 'miły', 'w', 'dotyki', 'i', 'niezwykle', 'miękki', '.']	0
1984	['kawa', 'lekko', 'spalona']	-1
10949	['jak', 'tylko', 'zamawiam', 'dowo', 'ź', 'to', 'zawsze', 'coś', 'jest', 'nie', 'tak']	-1
16775	['renomę']	0
30300	['raczej', 'dla', 'młodych', 'dziewczyn']	0
18668	['ta', 'jedna']	0
30505	['mój', 'chłopak', 'teraz', 'używa', 'tej', 'wody']	0
24987	['ten']	0
21901	['dosyć']	0
37502	['upem']	0
33242	['reszta', 'miseczki', 'jest', 'gładka']	0
3026	['nocny']	0
24099	['którą']	0
39385	['przyjętej', 'przez', 'koalicję', 'sld\xadpsl', 'ustawy']	0
6950	['dużo']	0
29712	['flakonik', 'przepiękny', 'aż', 'się', 'chce', 'mieć', 'go', 'wyeksponowanego', 'na', 'toaletce', '.']	0
15559	['komuś']	0
3727	['naszym', 'zdaniem', 'suche', 'szampony', 'nie', 'spełniają', 'wszystkich', 'pokładanych', 'w', 'nich', 'nadziei']	-1
30929	['szalonej']	-1
33103	[',', 'o', 'znakomitym', 'dizajnie', 'i', 'stylu']	1
10527	['jednak', 'obsługa', ',', 'której', 'zachowanie', 'i', 'umiejętności']	0
21829	['w', 'ogóle']	0
25563	['kostium']	0
28106	['wyróżniający', 'się', 'z', 'tłumu']	1
11386	['to']	0
16274	['nie']	0
12263	['farba']	0
38364	[',', 'by', 'nie', 'stracić', 'swej', 'wiarygodności']	0
16920	[',']	0
19748	['knajpy']	0
15393	['obsługa', 'naprawdę', 'tragiczna', ',', 'ale', 'to', 'też', 'było', 'widać', 'po', 'ilości', 'gości', ',', 'szczerze', 'nie', 'polecam']	-1
13616	['ładne', 'opakowanie', 'prezentowe']	1
3792	['.']	0
37017	[',']	0
34859	['według', 'mnie', 'najlepsze', 'perfumy', 'Chanel', 'jakie', 'miała', 'm', '.']	0
10225	['em']	0
29643	['lekki']	0
40990	['nie']	0
5767	['prześliczny']	1
31547	['perfumy', 'mają', 'bardzo', 'przyjemny', 'i', 'świerzy', 'zapach', '.']	0
154	[',']	0
14082	['niestety', 'wielkie', 'rozczarowanie', ',', 'zupa', 'dnia', 'z', 'kminkiem', 'i', 'salami', 'była', 'niezła', ',', 'natomiast', 'tadżin', 'to', 'porażka', ',', 'tzw', '.', 'sos', 'to', 'w', 'zasadzie', 'jego', 'brak', ',', 'kurczak', 'i', 'warzywa', 'po', 'prostu', 'leżą', 'w', 'płynie', ',', 'który', 'na', 'dodatek', 'nie', 'ma', 'smaku', ',', 'ogórki', 'konserwowe', 'i', 'papryka']	-1
24360	['mi']	0
15694	['ta']	0
78	['duży']	0
36882	['tego']	0
34576	['te', 'perf', 'my']	0
18117	['-']	0
39058	['życia', 'publicznego']	0
21575	['m']	0
39848	['prawdziwa']	0
